"gamma_hat","squared_error","LCL","UCL","catch","interval_width","Method","setting","sigma","N","P"
1.97891293,0.000444664521184904,1.806802,2.1559455,TRUE,0.3491435,"BDML_b","fixed",1,200,100
2.02840694,0.0008069542401636,1.8685135,2.19116625,TRUE,0.32265275,"BDML_b2","fixed",1,200,100
1.88231614792636,0.0138494890388904,1.74429897155013,2.02033332430259,TRUE,0.276034352752462,"naive","fixed",1,200,100
2.14214445464882,0.0202050459874103,1.97517460273945,2.30911430655819,TRUE,0.333939703818733,"hahn","fixed",1,200,100
2.0396937547461,0.00157559416584382,1.87279833758623,2.20658917190598,TRUE,0.333790834319748,"linero","fixed",1,200,100
2.09192237242878,0.00844972255293625,1.94407503791378,2.23976970694379,TRUE,0.295694669030016,"FDML_full","fixed",1,200,100
1.78879264605637,0.0446085463598694,1.63263628505546,1.94494900705728,FALSE,0.312312722001824,"FDML_split","fixed",1,200,100
1.9435385,0.00318790098224999,1.60888225,2.27394925,TRUE,0.665067,"BDML_b","fixed",2,200,100
2.09431003,0.00889438175860089,1.787088,2.3816945,TRUE,0.5946065,"BDML_b2","fixed",2,200,100
1.8072689961274,0.0371452398537399,1.58674294910295,2.02779504315185,TRUE,0.441052094048902,"naive","fixed",2,200,100
2.33103159960087,0.109581919934308,2.00915631868353,2.6529068805182,FALSE,0.643750561834675,"hahn","fixed",2,200,100
2.07561378175461,0.00571744399123421,1.73174073674078,2.41948682676845,TRUE,0.687746090027665,"linero","fixed",2,200,100
2.21050258679692,0.0443113390481948,1.92890457019723,2.49210060339661,TRUE,0.563196033199371,"FDML_full","fixed",2,200,100
1.66849790652545,0.109893637978011,1.39537718716219,1.9416186258887,FALSE,0.546241438726508,"FDML_split","fixed",2,200,100
1.881442407,0.0140559028579537,1.2237265,2.51642575,TRUE,1.29269925,"BDML_b","fixed",4,200,100
2.18951228,0.0359149042707985,1.54595775,2.76604425,TRUE,1.2200865,"BDML_b2","fixed",4,200,100
1.81048059966694,0.0359176031026017,1.40927198353519,2.2116892157987,TRUE,0.802417232263507,"naive","fixed",4,200,100
2.58787867728691,0.345601339208602,1.94417279640226,3.23158455817155,TRUE,1.28741176176929,"hahn","fixed",4,200,100
2.12420038316515,0.0154257351783713,1.43009467654622,2.81830608978409,TRUE,1.38821141323788,"linero","fixed",4,200,100
2.41534174026672,0.172508761207789,1.82874878425967,3.00193469627378,TRUE,1.17318591201411,"FDML_full","fixed",4,200,100
1.46362384726408,0.287699377223788,0.932559015945051,1.99468867858311,FALSE,1.06212966263806,"FDML_split","fixed",4,200,100
1.87802087,0.0148789081555569,1.65387025,2.09670875,TRUE,0.4428385,"BDML_b","fixed",1,200,100
1.93368224,0.0043980452914176,1.7409425,2.12650875,TRUE,0.38556625,"BDML_b2","fixed",1,200,100
1.73440416064969,0.0705411498801951,1.58012344005278,1.8886848812466,FALSE,0.308561441193824,"naive","fixed",1,200,100
2.05703335582856,0.00325280367706669,1.8587209940841,2.25534571757301,TRUE,0.396624723488912,"hahn","fixed",1,200,100
1.88364952191728,0.0135374337500765,1.67522762616381,2.09207141767076,TRUE,0.416843791506952,"linero","fixed",1,200,100
1.88772421807695,0.0126058512064332,1.72775732107509,2.0476911150788,TRUE,0.319933794003707,"FDML_full","fixed",1,200,100
1.64439021162739,0.126458321586413,1.44523144701921,1.84354897623556,FALSE,0.398317529216351,"FDML_split","fixed",1,200,100
1.75792941,0.0585981705429481,1.35747175,2.178944,TRUE,0.82147225,"BDML_b","fixed",2,200,100
1.8432942,0.02455670775364,1.4938675,2.1700585,TRUE,0.676191,"BDML_b2","fixed",2,200,100
1.58912979771154,0.168814323128562,1.35283610887452,1.82542348654855,FALSE,0.472587377674028,"naive","fixed",2,200,100
2.08245407626905,0.00679867469338217,1.70285770401277,2.46205044852533,TRUE,0.759192744512564,"hahn","fixed",2,200,100
1.74741607821973,0.063798637541903,1.32847891295166,2.16635324348779,TRUE,0.837874330536133,"linero","fixed",2,200,100
1.91562918373931,0.00711843463649436,1.60526236428277,2.22599600319586,TRUE,0.620733638913091,"FDML_full","fixed",2,200,100
1.39220958993208,0.369409182570529,1.0471987642205,1.73722041564366,FALSE,0.690021651423152,"FDML_split","fixed",2,200,100
1.566927533,0.187551761673466,0.792447825,2.3098905,TRUE,1.517442675,"BDML_b","fixed",4,200,100
1.672326443,0.107369959957032,0.99483005,2.34971425,TRUE,1.3548842,"BDML_b2","fixed",4,200,100
1.39475342930891,0.366323411333322,0.961882791437536,1.82762406718029,FALSE,0.865741275742752,"naive","fixed",4,200,100
1.9118011047427,0.00777904512460819,1.18613699665659,2.63746521282881,TRUE,1.45132821617222,"hahn","fixed",4,200,100
1.52607953283413,0.224600609198714,0.718364335494197,2.33379473017407,TRUE,1.61543039467987,"linero","fixed",4,200,100
1.91746624285121,0.00681182106909502,1.23700745579544,2.59792502990698,TRUE,1.36091757411154,"FDML_full","fixed",4,200,100
0.998992189959112,1.00201663576285,0.366306339837988,1.63167804008024,FALSE,1.26537170024225,"FDML_split","fixed",4,200,100
2.06727626,0.00452609515958758,1.8616985,2.2814745,TRUE,0.419776,"BDML_b","fixed",1,200,100
2.13158871,0.0173155885994641,1.9655095,2.300641,TRUE,0.3351315,"BDML_b2","fixed",1,200,100
1.97565395567624,0.000592729874214561,1.83386005187838,2.1174478594741,TRUE,0.28358780759572,"naive","fixed",1,200,100
2.25597803448097,0.0655247541367422,2.07515871957533,2.43679734938662,FALSE,0.361638629811285,"hahn","fixed",1,200,100
